symbol,sources
CAT,"chat_gpt,claude,twitter,google"
DE,"chat_gpt,twitter"
DHI,chat_gpt
F,"chat_gpt,google"
FDX,"chat_gpt,claude"
GM,"chat_gpt,google"
HD,"chat_gpt,claude"
LEN,chat_gpt
MAS,chat_gpt
MLM,"chat_gpt,claude"
MMM,"chat_gpt,claude"
NUE,"chat_gpt,claude"
SHW,chat_gpt
UNP,"chat_gpt,claude,twitter"
UPS,"chat_gpt,twitter"
VMC,"chat_gpt,claude"
WHR,chat_gpt
X,"chat_gpt,claude"
AMZN,claude
GE,"claude,google"
HON,claude
J,claude
LMT,"claude,twitter,google"
ROK,claude
TER,claude
WMT,"claude,google"
CMG,twitter
CNI,twitter
CP,twitter
RTX,twitter
WM,twitter
FER,google
INTC,google
MSCI,google
TSM,google
VRRM,google
